Date,Symbol,Close,mom,yoy
29-10-2021,SILVERMIC    ,64725,0.081399429,
30-11-2021,SILVERMIC    ,62721,-0.030961761,0.040252761
31-12-2021,SILVERMIC    ,62892,0.00272636,-0.076285874
31-01-2022,SILVERMIC    ,61316,-0.025058831,-0.119705975
28-02-2022,SILVERMIC    ,65864,0.074173136,-0.050554266
31-03-2022,SILVERMIC    ,67662,0.027298676,0.056657401
29-04-2022,SILVERMIC    ,64635,-0.044737075,-0.048351713
31-05-2022,SILVERMIC    ,61468,-0.048998221,-0.145375674
30-06-2022,SILVERMIC    ,59606,-0.030292185,-0.122279488
21-07-2022,SILVERMIC    ,56087,-0.059037681,-0.17589409
30-11-2020,ZINC         ,220.2,,
31-12-2020,ZINC         ,221.15,0.00431426,
29-01-2021,ZINC         ,211,-0.04589645,
26-02-2021,ZINC         ,228.85,0.084597156,
31-03-2021,ZINC         ,223.7,-0.022503823,
30-04-2021,ZINC         ,237.8,0.063030845,
31-05-2021,ZINC         ,239.1,0.005466779,
30-06-2021,ZINC         ,239.5,0.00167294,
30-07-2021,ZINC         ,249.95,0.043632568,
31-08-2021,ZINC         ,249.3,-0.00260052,
30-09-2021,ZINC         ,265.8,0.066185319,
29-10-2021,ZINC         ,285,0.072234763,
30-11-2021,ZINC         ,275.75,-0.03245614,0.252270663
31-12-2021,ZINC         ,290.85,0.054759746,0.315170699
31-01-2022,ZINC         ,303.15,0.04228984,0.436729858
28-02-2022,ZINC         ,305.85,0.008906482,0.336464933
31-03-2022,ZINC         ,347.1,0.134870034,0.55163165
29-04-2022,ZINC         ,366.65,0.056323826,0.541841884
31-05-2022,ZINC         ,336.25,-0.08291286,0.406315349
30-06-2022,ZINC         ,306.1,-0.089665428,0.278079332
21-07-2022,ZINC         ,274.4,-0.103560928,0.097819564
